iter	Accuracy	MultiClass
175	0.9574678516	0.08286170378
176	0.9574678516	0.08278023303
177	0.9574654742	0.08277556586
178	0.9574654742	0.08277211395
179	0.9574654742	0.08276813762
180	0.9574654742	0.08276522766
181	0.9574654755	0.08273267311
182	0.9574944203	0.08272597226
183	0.9574944203	0.08272283715
184	0.9575160034	0.08271940221
185	0.957535072	0.0826374403
186	0.9575302957	0.08263174231
187	0.9575398352	0.08261349741
188	0.9575684374	0.08256573312
189	0.9575684374	0.08255164481
190	0.9575732102	0.08253221446
191	0.9575732102	0.08252020599
192	0.9575732102	0.08251760222
193	0.9576231703	0.08250769905
194	0.9576922941	0.08243538981
195	0.9577232716	0.0824323819
196	0.9577137322	0.08242728317
197	0.9577137322	0.08242526265
198	0.9577161309	0.082306101
199	0.9577185084	0.08229893096
